Initiative,Epic,Task ID,Name,Subtask?,Priority,Customer,Customer Priority Context,Due Date (Adjusted),Completed At,Estimated Hours,Resourcing Impact,Status,Feature Set,Must Deliver in 90 Days?
Security & Compliance,Vanta Compliance Improvements,1209092927239551,[Vanta] Add PII tagging to Distro,No,Low,,,2025-09-24,,,Platform,Open,,No
Admin UI / AST,Admin Status Tracking,1211414408802365,AST: 👁 Viewed should not change status from open [to viewed],No,High,,,2025-09-23,,20.0,Product,Open,,Yes
Admin UI / AST,Admin Status Tracking,1211412072859757,"AST: Move ""Assigned to"" to the Actions Column",No,Medium,,,2025-09-24,,40.0,Product,Open,,No
Admin UI / AST,Admin Status Tracking,1.21141E+15,AST: Add “Resolved By” to Resolved view,No,Medium,,,2025-09-26,,5.0,Product,Open,,No
Document Assistance,Document Intake Improvements,1211123913768993,DA - Birth Docs - Upload Birth Certificate as proof of birth,Yes,High,,,NaT,,40.0,Product,Open,Document Assistance,Yes
Document Assistance,nan - Customer Requests,1211432756069843,Create v0 Message Template for Doc Type Check,Yes,,,,NaT,,40.0,Product,Open,,No
Notifications & Comms,nan - Customer Requests,1211432756069844,Create v0 Message Template for Extracting Fields,Yes,,,,NaT,,40.0,Platform,Open,,No
Document Assistance,nan - Customer Requests,1211432756069845,Achieve <50% FPR for Doc Type Check,Yes,,,,NaT,,,Product,Open,,No
Uncategorized,nan - Customer Requests,1211432756069846,Achieve <50% FPR for Required Fields Check,Yes,,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1211432756069847,Configure Inline Alerting,Yes,,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,Document Intake Improvements,1211432756069949,Import Documents & Recollect Reasons for Testing,Yes,,,,NaT,,,Needs Assignment,Open,,No
Document Assistance,Document Intake Improvements,1211123913768997,DA - Birth Docs - Upload Certificate of Live Birth as proof of birth,Yes,High,,,NaT,,40.0,Product,Open,Document Assistance,Yes
Document Assistance,nan - Customer Requests,1211432756069848,Create v0 Message Template for Doc Type Check,Yes,,,,NaT,,,Product,Open,,No
Notifications & Comms,nan - Customer Requests,1211432756069849,Create v0 Message Template for Extracting Fields,Yes,,,,NaT,,,Platform,Open,,No
Document Assistance,nan - Customer Requests,1.21143E+15,Achieve <50% FPR for Doc Type Check,Yes,,,,NaT,,,Product,Open,,No
Uncategorized,nan - Customer Requests,1211432756069851,Achieve <50% FPR for Required Fields Check,Yes,,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1211432756069852,Configure Inline Alerting,Yes,,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,Document Intake Improvements,1.21143E+15,Import Documents & Recollect Reasons for Testing,Yes,,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1210139580111536,Create Read Only view for people on surveys,No,High,,,2025-10-07,,40.0,Needs Assignment,Open,,Yes
Platform Core,nan - Customer Requests,1211365398334306,Backend immutability (RS) ,Yes,,,,NaT,,,Platform,Open,,No
Uncategorized,nan - Customer Requests,1211365398334307,Frontend Screeners Can View surveys but not edit,Yes,,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1211365398334311,Consider Readonly View for each component,Yes,,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1.21137E+15,Consider Show Fields -> ReadOnly view for each component,Yes,,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1211414885457901,Requesting a better way to display reviewer stats in dashboards,No,Medium,,,2025-09-26,,5.0,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1211397346025834,Give Directly Endpoints,No,High,,,2025-09-24,,40.0,Needs Assignment,Open,,Yes
Uncategorized,nan - Customer Requests,1.21135E+15,Add Claim from Protected Search Functionality,No,High,,,2025-09-24,,40.0,Needs Assignment,Open,,Yes
Uncategorized,nan - Customer Requests,1210708837013976,Info in id_front_text is outdated or removed,No,High,,,2025-08-22,2025-09-16,40.0,Needs Assignment,Completed,,Yes
Uncategorized,nan - Customer Requests,1.21119E+15,Error message when enabling flup notif without parent notif being enabled,No,High,,,2025-09-30,,20.0,Needs Assignment,Open,,Yes
Uncategorized,nan - Customer Requests,1211308935281125,Improve Ability to Delete Dynamo Apps,No,High,,,2025-10-07,,20.0,Needs Assignment,Open,,Yes
Accessibility & UX,nan - Customer Requests,1211058960162382,"Create a Human-Evaluated Language Layer as Default for Localization strings, Backed Up by AI-Translated i18 Files",No,High,,,NaT,,60.0,Product,Open,,Yes
Data & Reporting,nan - Customer Requests,1211215750666611,"New Bug Report: When calling interpretation service from a video call, only the host is able to hear them",No,High,,,NaT,,40.0,Platform,Open,,Yes
